Gesetz_Verordnung;gii_title;gii_slug;gii_xml_zip_url
Aktiengesetz;;;
Anzeigenverordnung;;anzv_2006;
Börsengesetz;;;
Börsenzulassungs-Verordnung;;;
Bürgerliches Gesetzbuch;;;
Depotgesetz;Gesetz über die Verwahrung und Anschaffung von Wertpapieren;wpapg;
Einführungsgesetz zum Aktiengesetz;;;
Einführungsgesetz zum Bürgerlichen Gesetzbuche;;;
Einführungsgesetz zum Versicherungsvertragsgesetz;;;
Einkommensteuergesetz;;;
Finanzdienstleistungsaufsichtsgebührenverordnung;Verordnung über die Umlegung von Kosten nach dem Finanzdienstleistungsaufsichtsgesetz;findagkostv;
Finanzdienstleistungsaufsichtsgesetz;Gesetz über die Bundesanstalt für Finanzdienstleistungsaufsicht;findag;
Finanzkonglomerate-Aufsichtsgesetz;;fkag;
Finanzverwaltungsgesetz;;;
Fünftes Vermögensbildungsgesetz;Fünftes Gesetz zur Förderung der Vermögensbildung der Arbeitnehmer;vermbg_2;
Geldwäschegesetz;;gwg_2017;
Gesetz für dringliche Änderungen im Finanzmarkt- und Steuerbereich;;;
Gesetz über elektronische Wertpapiere;;;
Gewerbeordnung;;;
Handelsgesetzbuch;;;
Inhaberkontrollverordnung;;inhkontrollv;
Investmentsteuergesetz;;;
Kapitalanlagegesetzbuch;;;
Körperschaftsteuergesetz;;;
Kreditwesengesetz;Gesetz über das Kreditwesen;kredwg;
Kryptomärkteaufsichtsgesetz;;kmag;
Marktzugangsangabenverordnung;;;
Pfandbriefgesetz;;;
REIT-Gesetz;;reitg;
Sanierungs- und Abwicklungsgesetz;Gesetz zur Sanierung und Abwicklung von Instituten und Finanzgruppen;sag;
Spruchverfahrensgesetz;Gesetz über das gesellschaftsrechtliche Spruchverfahren;spruchg;
Stabilisierungsfondsgesetz;Gesetz zur Errichtung eines Finanzmarkt- und eines Wirtschaftsstabilisierungsfonds;fmstfg;
Umsatzsteuergesetz;;;
Verordnung über Anforderungen an elektronische Wertpapierregister;;;
Verordnung über die Satzung der Bundesanstalt für Finanzdienstleistungsaufsicht;;;
Verordnung zur Übertragung von Befugnissen zum Erlass von Rechtsverordnungen auf die Bundesanstalt für Finanzdienstleistungsaufsicht;;;
Vermögensanlagengesetz;Gesetz über Vermögensanlagen;vermanlg;
Versicherungs-Vergütungsverordnung;Verordnung über die aufsichtsrechtlichen Anforderungen an Vergütungssysteme im Versicherungsbereich;versvergv_2016;
Versicherungsaufsichtsgesetz;Gesetz über die Beaufsichtigung der Versicherungsunternehmen;vag_2016;
Versicherungsvertragsgesetz;Gesetz über den Versicherungsvertrag;vvg_2008;
Wertpapierdienstleistungs-Prüfungsverordnung;Verordnung über die Prüfung der Wertpapierdienstleistungsunternehmen nach § 89 des Wertpapierhandelsgesetzes;wpdpv_2018;
Wertpapierdienstleistungs-Verhaltens- und -Organisationsverordnung;Verordnung zur Konkretisierung der Verhaltensregeln und Organisationsanforderungen für Wertpapierdienstleistungsunternehmen;wpdverov_2018;
Wertpapiererwerbs- und Übernahmegesetz;;;
Wertpapierhandelsanzeigeverordnung;;;
Wertpapierhandelsgesetz;Gesetz über den Wertpapierhandel;wphg;
Wertpapierinstituts-Anzeigenverordnung;Verordnung über die Anzeigen und die Vorlage von Unterlagen nach dem Wertpapierinstitutsgesetz;wpi-anzv;
Wertpapierinstituts-Inhaberkontrollverordnung;Verordnung über Anzeigen nach § 24 des Wertpapierinstitutsgesetzes;wpi-inhkontrollv;
Wertpapierinstitutsgesetz;Gesetz zur Beaufsichtigung von Wertpapierinstituten;wpig;
Wertpapierprospektgesetz;Gesetz über die Erstellung, Billigung und Veröffentlichung des Prospekts, der beim öffentlichen Angebot von Wertpapieren oder bei der Zulassung von Wertpapieren zum Handel an einem organisierten Markt zu veröffentlichen ist;wppg;
Wirtschaftsprüferordnung;Gesetz über eine Berufsordnung der Wirtschaftsprüfer;wipro;
WpÜG-Angebotsverordnung;Verordnung über den Inhalt der Angebotsunterlage, die Gegenleistung bei Übernahmeangeboten und Pflichtangeboten und die Befreiung von der Verpflichtung zur Veröffentlichung und zur Abgabe eines Angebots;wp_gangebv;
ZAG-Anzeigenverordnung;Verordnung über die Anzeigen und die Vorlage von Unterlagen nach dem Zahlungsdiensteaufsichtsgesetz;zaganzv;
Zahlungsdiensteaufsichtsgesetz;Gesetz über die Beaufsichtigung von Zahlungsdiensten;zag_2018;
Zahlungskontengesetz;Gesetz über die Vergleichbarkeit von Zahlungskontoentgelten, den Wechsel von Zahlungskonten sowie den Zugang zu Zahlungskonten mit grundlegenden Funktionen;zkg;
Zahlungsinstituts-Prüfungsberichtsverordnung;Verordnung über die Prüfung der Jahresabschlüsse der Zahlungsinstitute und E-Geld-Institute sowie die darüber zu erstellenden Berichte;zahlpr_fbv;
